start_id,end_id
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_1
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_2
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_3,quyen_rieng_tu__ans_3
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_4,quyen_rieng_tu__ans_4
quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_5,quyen_rieng_tu__ans_5
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_6
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_7
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_3,quyen_rieng_tu__ans_8
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_4,quyen_rieng_tu__ans_9
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_5,quyen_rieng_tu__ans_10
quyen_rieng_tu__cach_thuc_xu_ly_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_11
quyen_rieng_tu__thoi_gian_bat_dau_thoi_gian_ket_thuc_xu_ly_du_lieu__prob_1,quyen_rieng_tu__ans_12
quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_13
quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_14
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_15
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_16
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_3,quyen_rieng_tu__ans_17
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_4,quyen_rieng_tu__ans_18
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_19
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_20
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_3,quyen_rieng_tu__ans_21
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_4,quyen_rieng_tu__ans_22
quyen_rieng_tu__luu_tru_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_23
quyen_rieng_tu__luu_tru_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_24
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang__prob_1,quyen_rieng_tu__ans_25
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang__prob_2,quyen_rieng_tu__ans_26
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang__prob_3,quyen_rieng_tu__ans_27
quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon__prob_1,quyen_rieng_tu__ans_28
quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon__prob_2,quyen_rieng_tu__ans_29
quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba__prob_1,quyen_rieng_tu__ans_30
quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba__prob_2,quyen_rieng_tu__ans_31
quyen_rieng_tu__luat_ap_dung__prob_1,quyen_rieng_tu__ans_32
quyen_rieng_tu__thong_tin_lien_lac__prob_1,quyen_rieng_tu__ans_33
ho_tro_khach_hang__chinh_sach_chung__prob_1,ho_tro_khach_hang__ans_34
ho_tro_khach_hang__chinh_sach_chung__prob_2,ho_tro_khach_hang__ans_35
ho_tro_khach_hang__thu_thap_thong_tin_ca_nhan__prob_1,ho_tro_khach_hang__ans_36
ho_tro_khach_hang__muc_dich_thu_thap_thong_tin_ca_nhan__prob_1,ho_tro_khach_hang__ans_37
ho_tro_khach_hang__thay_doi_thong_tin_ca_nhan__prob_1,ho_tro_khach_hang__ans_38
ho_tro_khach_hang__bao_ve_va_luu_tru_thong_tin__prob_1,ho_tro_khach_hang__ans_39
ho_tro_khach_hang__bao_ve_va_luu_tru_thong_tin__prob_2,ho_tro_khach_hang__ans_40
ho_tro_khach_hang__chia_se_va_tiet_lo_thong_tin__prob_1,ho_tro_khach_hang__ans_41
ho_tro_khach_hang__quyen_va_nghia_vu_cua_khach_hang_lien_quan_den_bao_ve_du_lie__prob_1,ho_tro_khach_hang__ans_42
ho_tro_khach_hang__quyen_va_nghia_vu_cua_khach_hang_lien_quan_den_bao_ve_du_lie__prob_2,ho_tro_khach_hang__ans_43
ho_tro_khach_hang__huong_dan_dang_ky_mobile_money__prob_1,ho_tro_khach_hang__ans_44
ho_tro_khach_hang__huong_dan_dang_ky_mobile_money__prob_2,ho_tro_khach_hang__ans_45
ho_tro_khach_hang__huong_dan_naprut_tien_mobile_money__prob_1,ho_tro_khach_hang__ans_46
ho_tro_khach_hang__huong_dan_naprut_tien_mobile_money__prob_2,ho_tro_khach_hang__ans_47
ho_tro_khach_hang__huong_dan_chuyen_tien_mobile_money__prob_1,ho_tro_khach_hang__ans_48
ho_tro_khach_hang__huong_dan_thanh_toan_dich_vu_bang_mobile_money__prob_1,ho_tro_khach_hang__ans_49
ho_tro_khach_hang__dang_ky_tai_khoan_vnpt_money__prob_1,ho_tro_khach_hang__ans_50
ho_tro_khach_hang__dang_nhap_tai_khoan_vnpt_money__prob_1,ho_tro_khach_hang__ans_51
ho_tro_khach_hang__dinh_danh_tai_khoan_vnpt_money__prob_1,ho_tro_khach_hang__ans_52
ho_tro_khach_hang__dinh_danh_tai_khoan_vnpt_money__prob_2,ho_tro_khach_hang__ans_53
ho_tro_khach_hang__lien_ket_ngan_hang__prob_1,ho_tro_khach_hang__ans_54
ho_tro_khach_hang__lien_ket_ngan_hang__prob_2,ho_tro_khach_hang__ans_55
ho_tro_khach_hang__huong_dan_thanh_toan__prob_1,ho_tro_khach_hang__ans_56
ho_tro_khach_hang__tro_giup_khac__prob_1,ho_tro_khach_hang__ans_57
ho_tro_khach_hang__tro_giup_khac__prob_2,ho_tro_khach_hang__ans_58
ho_tro_khach_hang__tro_giup_khac__prob_3,ho_tro_khach_hang__ans_59
ho_tro_khach_hang__tro_giup_khac__prob_4,ho_tro_khach_hang__ans_60
ho_tro_khach_hang__tro_giup_khac__prob_5,ho_tro_khach_hang__ans_61
ho_tro_khach_hang__tro_giup_khac__prob_6,ho_tro_khach_hang__ans_62
ho_tro_khach_hang__tai_va_cap_nhat_ung_dung__prob_1,ho_tro_khach_hang__ans_63
ho_tro_khach_hang__tai_va_cap_nhat_ung_dung__prob_2,ho_tro_khach_hang__ans_64
dieu_khoan__pham_vi_dieu_khoan_chap_thuan_cua_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_65
dieu_khoan__pham_vi_dieu_khoan_chap_thuan_cua_vi_dien_tu_vnpt_pay__prob_2,dieu_khoan__ans_66
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_67
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_2,dieu_khoan__ans_68
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_3,dieu_khoan__ans_69
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_4,dieu_khoan__ans_70
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_5,dieu_khoan__ans_71
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_6,dieu_khoan__ans_72
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_7,dieu_khoan__ans_73
dieu_khoan__mo_va_su_dung_vi_dien_tu_vnpt_pay__prob_8,dieu_khoan__ans_74
dieu_khoan__phi_dich_vu_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_75
dieu_khoan__phi_dich_vu_vi_dien_tu_vnpt_pay__prob_2,dieu_khoan__ans_76
dieu_khoan__thu_thap_cung_cap_thong_tin_va_xu_ly_du_lieu_ca_nhan_vi_dien__prob_1,dieu_khoan__ans_77
dieu_khoan__thu_thap_cung_cap_thong_tin_va_xu_ly_du_lieu_ca_nhan_vi_dien__prob_2,dieu_khoan__ans_78
dieu_khoan__thu_thap_cung_cap_thong_tin_va_xu_ly_du_lieu_ca_nhan_vi_dien__prob_3,dieu_khoan__ans_79
dieu_khoan__quyen_va_nghia_vu_cua_khach_hang_khi_dung_vi_dien_tu_vnpt_pa__prob_1,dieu_khoan__ans_80
dieu_khoan__quyen_va_nghia_vu_cua_khach_hang_khi_dung_vi_dien_tu_vnpt_pa__prob_2,dieu_khoan__ans_81
dieu_khoan__quyen_va_nghia_vu_cua_vnpt_khi_cung_cap_dich_vu_vi_dien_tu_v__prob_1,dieu_khoan__ans_82
dieu_khoan__quyen_va_nghia_vu_cua_vnpt_khi_cung_cap_dich_vu_vi_dien_tu_v__prob_2,dieu_khoan__ans_83
dieu_khoan__thay_doi_tam_dung_gia_han_va_cham_dut_dich_vu_vi_dien_tu_vnp__prob_1,dieu_khoan__ans_84
dieu_khoan__thay_doi_tam_dung_gia_han_va_cham_dut_dich_vu_vi_dien_tu_vnp__prob_2,dieu_khoan__ans_85
dieu_khoan__giao_dich_khong_huy_ngang_o_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_86
dieu_khoan__quy_dinh_xu_ly_tra_soat_khieu_nai_o_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_87
dieu_khoan__quy_dinh_xu_ly_tra_soat_khieu_nai_o_vi_dien_tu_vnpt_pay__prob_2,dieu_khoan__ans_88
dieu_khoan__quy_dinh_xu_ly_tra_soat_khieu_nai_o_vi_dien_tu_vnpt_pay__prob_3,dieu_khoan__ans_89
dieu_khoan__bao_mat_thong_tin_va_quyen_so_huu_tri_tue_o_vi_dien_tu_vnpt___prob_1,dieu_khoan__ans_90
dieu_khoan__bao_mat_thong_tin_va_quyen_so_huu_tri_tue_o_vi_dien_tu_vnpt___prob_2,dieu_khoan__ans_91
dieu_khoan__hoan_tra_tien_o_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_92
dieu_khoan__cac_truong_hop_mien_trach_nhiem_o_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_93
dieu_khoan__su_kien_bat_kha_khang_khi_dung_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_94
dieu_khoan__su_kien_bat_kha_khang_khi_dung_vi_dien_tu_vnpt_pay__prob_2,dieu_khoan__ans_95
dieu_khoan__luat_dieu_chinh_va_giai_quyet_tranh_chap_cua_vi_dien_tu_vnpt__prob_1,dieu_khoan__ans_96
dieu_khoan__dieu_khoan_thi_hanh_cua_vi_dien_tu_vnpt_pay__prob_1,dieu_khoan__ans_97
dieu_khoan__pham_vi_ap_dung_dieu_khoan_chap_thuan_cua_dich_vu_mobile_mon__prob_1,dieu_khoan__ans_98
dieu_khoan__pham_vi_ap_dung_dieu_khoan_chap_thuan_cua_dich_vu_mobile_mon__prob_2,dieu_khoan__ans_99
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_1,dieu_khoan__ans_100
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_2,dieu_khoan__ans_101
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_3,dieu_khoan__ans_102
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_4,dieu_khoan__ans_103
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_5,dieu_khoan__ans_104
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_6,dieu_khoan__ans_105
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_7,dieu_khoan__ans_106
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_8,dieu_khoan__ans_107
dieu_khoan__mo_va_su_dung_dich_vu_mobile_money__prob_9,dieu_khoan__ans_108
dieu_khoan__quyen_va_nghia_vu_cac_ben_khi_dung_dich_vu_mobile_money__prob_1,dieu_khoan__ans_109
dieu_khoan__quyen_va_nghia_vu_cac_ben_khi_dung_dich_vu_mobile_money__prob_2,dieu_khoan__ans_110
dieu_khoan__quyen_va_nghia_vu_cac_ben_khi_dung_dich_vu_mobile_money__prob_3,dieu_khoan__ans_111
dieu_khoan__quyen_va_nghia_vu_cac_ben_khi_dung_dich_vu_mobile_money__prob_4,dieu_khoan__ans_112
dieu_khoan__quyen_va_nghia_vu_cac_ben_khi_dung_dich_vu_mobile_money__prob_5,dieu_khoan__ans_113
dieu_khoan__giao_dich_khong_huy_ngang_o_dich_vu_mobile_money__prob_1,dieu_khoan__ans_114
dieu_khoan__bieu_phi_va_han_muc_giao_dich__prob_1,dieu_khoan__ans_115
dieu_khoan__bieu_phi_va_han_muc_giao_dich__prob_2,dieu_khoan__ans_116
dieu_khoan__tam_ngung_va_cham_dut_su_dung_dich_vu_mobile_money__prob_1,dieu_khoan__ans_117
dieu_khoan__tam_ngung_va_cham_dut_su_dung_dich_vu_mobile_money__prob_2,dieu_khoan__ans_118
