start_id,end_id
quyen_rieng_tu__xu_ly_thong_tin_khach_hang,quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_1
quyen_rieng_tu__xu_ly_thong_tin_khach_hang,quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_2
quyen_rieng_tu__xu_ly_thong_tin_khach_hang,quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_3
quyen_rieng_tu__xu_ly_thong_tin_khach_hang,quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_4
quyen_rieng_tu__xu_ly_thong_tin_khach_hang,quyen_rieng_tu__xu_ly_thong_tin_khach_hang__prob_5
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang,quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_1
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang,quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_2
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang,quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_3
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang,quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_4
quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang,quyen_rieng_tu__muc_dich_xu_ly_thong_tin_khach_hang__prob_5
quyen_rieng_tu__cach_thuc_xu_ly_thong_tin_khach_hang,quyen_rieng_tu__cach_thuc_xu_ly_thong_tin_khach_hang__prob_1
quyen_rieng_tu__thoi_gian_bat_dau_thoi_gian_ket_thuc_xu_ly_du_lieu,quyen_rieng_tu__thoi_gian_bat_dau_thoi_gian_ket_thuc_xu_ly_du_lieu__prob_1
quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang,quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang__prob_1
quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang,quyen_rieng_tu__pham_vi_su_dung_thong_tin_khach_hang__prob_2
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_1
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_2
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_3
quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__quyen_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_4
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_1
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_2
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_3
quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_khach_hang_doi_voi_thong_tin_khach_hang__prob_4
quyen_rieng_tu__luu_tru_thong_tin_khach_hang,quyen_rieng_tu__luu_tru_thong_tin_khach_hang__prob_1
quyen_rieng_tu__luu_tru_thong_tin_khach_hang,quyen_rieng_tu__luu_tru_thong_tin_khach_hang__prob_2
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang__prob_1
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang__prob_2
quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang,quyen_rieng_tu__nghia_vu_cua_vnpt_doi_voi_thong_tin_khach_hang__prob_3
quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon,quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon__prob_1
quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon,quyen_rieng_tu__hau_qua_thiet_hai_khong_mong_muon__prob_2
quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba,quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba__prob_1
quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba,quyen_rieng_tu__quang_cao_tren_internet_va_ben_thu_ba__prob_2
quyen_rieng_tu__luat_ap_dung,quyen_rieng_tu__luat_ap_dung__prob_1
quyen_rieng_tu__thong_tin_lien_lac,quyen_rieng_tu__thong_tin_lien_lac__prob_1
ho_tro_khach_hang__chinh_sach_chung,ho_tro_khach_hang__chinh_sach_chung__prob_1
